x,y,ar
7.200001,-31.799999,-5.4
7.200001,-31.799999,-5.4
9,-32.099998,-4.5
8.400002,-33,-3.6
8.400002,-33,-3.6
8.400002,-33,-3.6
8.400002,-33,-3.6
8.25,-31.35,-4.05
8.099998,-30,-3.3
8.099998,-30,-3.3
8.099998,-30,-3.3
10.349998,-31.35,-3.45
10.5,-31.5,-5.4
9.450001,-31.049999,-4.05
9.450001,-31.049999,-4.05
10.5,-31.200001,-4.5
10.049999,-30.450001,-4.35
11.700001,-30.6,-4.8
11.700001,-30.6,-4.8
11.25,-31.950001,-5.25
10.349998,-31.049999,-3.75
10.349998,-31.049999,-3.75
10.349998,-31.049999,-3.75
10.349998,-31.049999,-3.75
13.049999,-29.549999,-5.25
12,-30.9,-4.5
12,-30.9,-4.5
13.049999,-30.15,-5.55
13.5,-30.6,-3.6
13.650002,-29.25,-3.75
13.650002,-29.25,-3.75
13.650002,-29.25,-3.75
13.650002,-29.85,-3.75
14.099998,-30,-4.8
14.700001,-28.200001,-4.8
14.700001,-28.200001,-4.8
15.450001,-27.450001,-5.25
15.450001,-29.549999,-4.35
15.450001,-29.549999,-4.35
15.450001,-29.549999,-4.35
15.450001,-29.549999,-4.35
14.849998,-29.549999,-3.75
15.599998,-28.799999,-5.1
15.599998,-28.799999,-5.1
16.5,-28.200001,-5.7
17.099998,-27.9,-6
17.099998,-27.6,-4.2
17.099998,-27.6,-4.2
17.099998,-27.6,-4.2
16.799999,-26.700001,-4.8
17.849998,-28.65,-5.55
17.549999,-26.25,-4.95
17.549999,-26.25,-4.95
17.549999,-26.25,-4.95
16.799999,-27,-4.5
16.799999,-27,-4.5
16.799999,-27,-4.5
16.799999,-27,-4.5
18.900002,-25.200001,-3.9
18,-27.6,-3.9
18,-27.6,-3.9
19.049999,-25.65,-4.95
19.650002,-25.65,-5.25
18.299999,-25.5,-4.8
19.049999,-25.65,-5.55
19.049999,-25.65,-5.55
18.450001,-25.65,-3.45
19.200001,-27,-4.8
20.400002,-24.9,-5.7
20.400002,-24.9,-5.7
19.950001,-25.950001,-4.65
21.450001,-24.75,-4.05
21.450001,-24.75,-4.05
21.450001,-24.75,-4.05
20.549999,-24.15,-4.95
21.599998,-23.700001,-5.4
21.599998,-23.700001,-5.4
21.599998,-23.700001,-5.4
21.150002,-22.35,-4.35
21.450001,-23.25,-4.05
21.450001,-23.25,-4.05
21.450001,-23.25,-4.05
22.950001,-23.25,-5.85
22.049999,-22.65,-4.95
22.799999,-22.799999,-5.4
22.799999,-22.799999,-5.4
22.5,-22.799999,-5.4
22.650002,-22.049999,-4.95
23.549999,-21.450001,-4.95
23.549999,-21.450001,-4.95
22.650002,-21.15,-4.95
22.200001,-22.200001,-4.2
22.950001,-21.450001,-5.25
22.950001,-21.450001,-5.25
22.950001,-21.450001,-5.25
24.150002,-21.15,-5.85
23.549999,-21.15,-6.15
23.549999,-21.15,-6.15
23.549999,-21.15,-6.15
24.299999,-20.700001,-5.4
24.599998,-20.4,-5.1
24.599998,-20.4,-5.1
24.599998,-20.4,-5.1
24.299999,-20.4,-4.8
23.700001,-20.4,-5.1
24.599998,-19.200001,-4.8
24.599998,-19.200001,-4.8
24.900002,-19.5,-5.7
23.849998,-18.450001,-4.05
26.849998,-19.65,-4.95
26.849998,-19.65,-4.95
26.849998,-19.65,-4.95
25.200001,-18,-5.4
24.299999,-19.799999,-5.4
24.299999,-19.799999,-5.4
24.299999,-19.799999,-5.4
26.25,-17.549999,-4.65
25.349998,-17.85,-4.65
25.799999,-18.9,-5.1
25.799999,-18.9,-5.1
25.049999,-17.25,-4.95
25.5,-17.4,-5.1
26.700001,-18.299999,-5.7
26.700001,-18.299999,-5.7
26.700001,-18.299999,-5.7
26.549999,-18.15,-6.15
26.400002,-15,-6
26.400002,-15,-6
26.400002,-15,-6
27.75,-16.049999,-5.25
26.849998,-16.65,-4.35
28.200001,-15.6,-4.2
28.200001,-15.6,-4.2
26.099998,-15.6,-4.5
27.299999,-16.200001,-5.4
27.450001,-14.25,-5.85
27.450001,-14.25,-5.85
27.450001,-14.25,-5.85
27.450001,-14.85,-5.55
27.75,-14.25,-4.65
27.75,-15.15,-4.95
27.75,-15.15,-4.95
27.75,-15.15,-4.95
28.049999,-12.75,-4.05
28.5,-13.8,-4.8
28.5,-13.8,-4.8
27.450001,-13.95,-4.95
28.200001,-12.9,-6
28.349998,-13.65,-5.25
28.349998,-13.65,-5.25
28.349998,-13.65,-5.25
28.349998,-12.15,-5.55
27.599998,-11.1,-4.5
27.299999,-12,-4.5
27.299999,-12,-4.5
28.650002,-12.15,-5.25
28.950001,-11.55,-6.15
29.25,-11.55,-5.85
29.25,-11.55,-5.85
28.5,-11.4,-4.5
28.799999,-10.5,-4.5
28.799999,-10.5,-4.5
28.799999,-10.5,-4.5
28.950001,-10.95,-4.65
28.349998,-9.75,-4.95
28.349998,-9.75,-4.95
28.349998,-9.75,-4.95
28.799999,-10.5,-4.5
28.799999,-10.5,-4.5
28.799999,-10.5,-4.5
29.25,-9.15,-6.15
29.700001,-9,-5.1
29.700001,-9,-5.1
29.700001,-9,-5.1
29.549999,-9.15,-4.05
29.549999,-9.15,-4.05
29.549999,-9.15,-4.05
29.099998,-10.5,-3.9
29.849998,-7.95,-4.65
29.849998,-7.95,-4.65
27.599998,-8.1,-3.9
29.400002,-9,-4.5
29.400002,-9,-4.5
29.400002,-9,-4.5
29.549999,-8.85,-5.25
30.150002,-8.55,-4.05
30.150002,-8.55,-4.05
29.849998,-8.85,-4.95
29.099998,-8.1,-4.5
29.549999,-9.15,-4.35
29.549999,-9.15,-4.35
29.400002,-7.5,-5.7
29.400002,-7.8,-5.4
29.400002,-7.8,-5.4
29.400002,-7.5,-3.9
29.700001,-7.2,-4.8
29.700001,-7.2,-4.8
30.450001,-6.75,-3.45
29.25,-7.35,-4.35
29.25,-7.35,-4.35
29.25,-7.35,-4.35
31.049999,-6.45,-4.95
30.900002,-7.8,-3
30.900002,-7.8,-3
28.950001,-6.75,-4.35
29.099998,-6.3,-3.9
29.099998,-6.3,-3.9
30.150002,-4.65,-4.65
30.75,-5.55,-4.05
30.75,-5.55,-4.05
30.75,-5.55,-4.05
30.150002,-5.55,-4.05
30.299999,-5.4,-4.5
30.299999,-5.4,-4.5
29.849998,-4.95,-4.65
30,-4.2,-4.8
30,-4.2,-4.8
28.950001,-4.35,-3.45
30.299999,-5.1,-4.5
30.299999,-5.1,-4.5
30.299999,-5.1,-4.5
30.75,-4.05,-4.05
30.75,-4.05,-4.05
30.75,-4.05,-4.05
29.25,-4.95,-5.25
29.849998,-3.75,-4.35
29.849998,-3.75,-4.35
29.849998,-3.75,-4.35
30.150002,-2.85,-4.95
29.549999,-1.65,-4.05
29.549999,-1.65,-4.05
30.599998,-2.4,-3.9
30,-1.8,-4.2
30,-1.8,-4.2
29.700001,0.3,-3.6
29.849998,-0.75,-4.65
29.849998,-0.75,-4.65
29.849998,-0.75,-4.65
30.150002,-1.35,-3.45
28.950001,0.15,-4.35
28.950001,0.15,-4.35
29.700001,0.9,-3.9
29.099998,0.3,-3.9
29.099998,0.3,-3.9
31.049999,37.049999,-3.9
29.700001,0.3,-4.2
29.700001,-0.9,-3.6
29.700001,-0.9,-3.6
